"a_o","armas_medios","barrios_hecho","clasificaciones_delito","conducta","curso_de_vida","descripcion_conducta","dia","dia_semana","edad","estado_civil_persona","fecha_hecho","genero","latitud","longitud","mes","movil_agresor","movil_victima","nom_comuna","orden","zona"
"2017","ACIDO","CAMPO HERMOSO","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","6","domingo","21","SOLTERO","2017-08-06T00:00:00.000","FEMENINO","7.103765478","-73.13919417","08. agosto","A PIE","A PIE","05. García Rovira","1","URBANA"
"2018","ARMA BLANCA / CORTOPUNZANTE","5 DE ENERO","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","1","lunes","43","CASADO","2018-01-01T00:00:00.000","MASCULINO","7.099224732","-73.17117683","01. enero","A PIE","A PIE","05. García Rovira","2","URBANA"
"2010","ARMA BLANCA / CORTOPUNZANTE","12 DE OCTUBRE","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","23","domingo","39","UNION LIBRE","2010-05-23T00:00:00.000","MASCULINO","7.145899341","-73.1272996","05. mayo","A PIE","A PIE","04. Occidental","3","URBANA"
"2012","ARMA BLANCA / CORTOPUNZANTE","12 DE OCTUBRE","Lesiones fatales","HOMICIDIO","03. Adolescencia","ARTÍCULO 103. HOMICIDIO","10","domingo","17","SOLTERO","2012-06-10T00:00:00.000","MASCULINO","7.11675075","-73.138712","06. junio","A PIE","A PIE","04. Occidental","4","URBANA"
"2016","ARMA BLANCA / CORTOPUNZANTE","12 DE OCTUBRE","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","24","martes","30","UNION LIBRE","2016-05-24T00:00:00.000","MASCULINO","7.119493202","-73.13525725","05. mayo","A PIE","A PIE","04. Occidental","5","URBANA"
"2018","ARMA BLANCA / CORTOPUNZANTE","12 DE OCTUBRE","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","29","martes","27","SOLTERO","2018-05-29T00:00:00.000","MASCULINO","7.118638221","-73.1362429","05. mayo","A PIE","A PIE","04. Occidental","6","URBANA"
"2014","ARMA BLANCA / CORTOPUNZANTE","AFRICA","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","20","viernes","37","SOLTERO","2014-06-20T00:00:00.000","MASCULINO","7.098734646","-73.11241384","06. junio","A PIE","A PIE","08. Sur Occidente","7","URBANA"
"2010","ARMA BLANCA / CORTOPUNZANTE","ALARCON","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","16","sábado","34","CASADO","2010-01-16T00:00:00.000","MASCULINO","7.127498","-73.122953","01. enero","A PIE","A PIE","03. San Francisco","8","URBANA"
"2010","ARMA BLANCA / CORTOPUNZANTE","ALARCON","Lesiones fatales","HOMICIDIO","05. Adultez","ARTÍCULO 103. HOMICIDIO","27","lunes","36","SOLTERO","2010-09-27T00:00:00.000","MASCULINO","7.127498","-73.122953","09. septiembre","A PIE","A PIE","03. San Francisco","9","URBANA"
"2011","ARMA BLANCA / CORTOPUNZANTE","ALARCON","Lesiones fatales","HOMICIDIO","04. Jovenes","ARTÍCULO 103. HOMICIDIO","19","miércoles","23","UNION LIBRE","2011-01-19T00:00:00.000","MASCULINO","7.127498","-73.122953","01. enero","A PIE","A PIE","03. San Francisco","10","URBANA"
